"Freshwater.type" "Diversity.decay.parameter" "Dispersal" "Descriptors" "Estimate" "Std..Error" "z.value" "Pr...z.."
"Total" "Proportional decay rate (b)" "0.001 km" "(Intercept)" -0.0881744909796333 0.0557040989030909 -1.58290848817125 0.113442323792256
"Total" "Proportional decay rate (b)" "0.001 km" "s(Long)" 0.79093107821881 2 3.72469760507778 0.0284973818752662
"Total" "Proportional decay rate (b)" "0.001 km" "s(Lat)" 2.32925605669429e-05 2 6.621465616592e-06 0.72489650134599
"Total" "Proportional decay rate (b)" "0.001 km" "s(Betw_Med)" 1.56186488088761 2 17.9267227167835 1.96018915054053e-05
"Total" "Proportional decay rate (b)" "0.001 km" "s(OutDeg_Med)" 0.983101023927936 2 57.1391610313831 0
"Total" "Proportional decay rate (b)" "0.001 km" "s(WatCov_Mean)" 0.950498691958049 2 18.9177073870306 7.27752432083673e-06
"Total" "Proportional decay rate (b)" "0.001 km" "s(WatCov_CV)" 0.971631953789583 2 33.7850701522636 0
"Total" "Collapsing rate (q)" "0.001 km" "(Intercept)" -0.743138291520701 0.00476797246095234 -155.860441226682 0
"Total" "Collapsing rate (q)" "0.001 km" "s(Long)" 0.177961237251079 2 0.216127600288617 0.266870650837246
"Total" "Collapsing rate (q)" "0.001 km" "s(Lat)" 4.34249640925615e-05 2 1.74553059647576e-05 0.588800222003237
"Total" "Collapsing rate (q)" "0.001 km" "s(Betw_Med)" 1.67770501657008 2 24.9299487495794 2.74159293711662e-07
"Total" "Collapsing rate (q)" "0.001 km" "s(OutDeg_Med)" 0.978377867132346 2 45.2547758650629 0
"Total" "Collapsing rate (q)" "0.001 km" "s(WatCov_Mean)" 0.93257832450465 2 13.8018068692835 0.00010381496498213
"Total" "Collapsing rate (q)" "0.001 km" "s(WatCov_CV)" 0.983121543635257 2 58.1858846904715 0
"Total" "Proportional decay rate (b)" "0.1 km" "(Intercept)" 0.424486684200413 0.0882227158559906 4.81153498939342 1.4977550663281e-06
"Total" "Proportional decay rate (b)" "0.1 km" "s(Long)" 0.206449120885138 2 0.25607720736711 0.256114213436621
"Total" "Proportional decay rate (b)" "0.1 km" "s(Lat)" 1.49501785702779e-05 2 6.86516459840432e-07 0.915984515728532
"Total" "Proportional decay rate (b)" "0.1 km" "s(Betw_Med)" 1.22314462138705 2 15.7645066046259 3.89155398612395e-05
"Total" "Proportional decay rate (b)" "0.1 km" "s(OutDeg_Med)" 0.966384644511819 2 27.8639475653212 0
"Total" "Proportional decay rate (b)" "0.1 km" "s(WatCov_Mean)" 1.42515701004768 2 11.5411054926071 0.000430957085845063
"Total" "Proportional decay rate (b)" "0.1 km" "s(WatCov_CV)" 0.941190336229587 2 15.5346696784663 1.92069079824053e-05
"Total" "Collapsing rate (q)" "0.1 km" "(Intercept)" -0.682504021896642 0.00420660814528796 -162.245685436888 0
"Total" "Collapsing rate (q)" "0.1 km" "s(Long)" 2.03574548551493e-05 2 1.37534215243266e-06 0.926720232596058
"Total" "Collapsing rate (q)" "0.1 km" "s(Lat)" 0.000160191379315542 2 0.000143417405748571 0.306712968214306
"Total" "Collapsing rate (q)" "0.1 km" "s(Betw_Med)" 0.951058224156625 2 19.4432256997421 6.01829982294078e-06
"Total" "Collapsing rate (q)" "0.1 km" "s(OutDeg_Med)" 1.26562114078443 2 16.8559893410008 1.60131995211588e-05
"Total" "Collapsing rate (q)" "0.1 km" "s(WatCov_Mean)" 1.53078922885813 2 9.52003134579132 0.00143630775303283
"Total" "Collapsing rate (q)" "0.1 km" "s(WatCov_CV)" 0.941995921943588 2 16.2054638616771 2.36170428136173e-06
"Total" "Proportional decay rate (b)" "0.5 km" "(Intercept)" 0.473052467357888 0.0721412858649444 6.55730573257994 5.47886141269763e-11
"Total" "Proportional decay rate (b)" "0.5 km" "s(Long)" 1.44688238850707e-05 2 9.17178496204974e-06 0.476095372951182
"Total" "Proportional decay rate (b)" "0.5 km" "s(Lat)" 7.15192913886615e-06 2 7.00891994440395e-08 0.986993080470152
"Total" "Proportional decay rate (b)" "0.5 km" "s(Betw_Med)" 1.4493744314172 2 8.40843707569051 0.00308410513998214
"Total" "Proportional decay rate (b)" "0.5 km" "s(OutDeg_Med)" 0.95342476619477 2 20.0116145149456 9.51455281450464e-07
"Total" "Proportional decay rate (b)" "0.5 km" "s(WatCov_Mean)" 1.20518361409665 2 8.73470875814767 0.00153658964920467
"Total" "Proportional decay rate (b)" "0.5 km" "s(WatCov_CV)" 1.55022376113477 2 13.4647368822594 0.000108950260123031
"Total" "Collapsing rate (q)" "0.5 km" "(Intercept)" -0.664703482134075 0.00298235694912558 -222.878580087123 0
"Total" "Collapsing rate (q)" "0.5 km" "s(Long)" 0.000120512887515241 2 5.67366316100224e-05 0.597172872999341
"Total" "Collapsing rate (q)" "0.5 km" "s(Lat)" 0.85049669326831 2 5.68995815440138 0.00836678951443559
"Total" "Collapsing rate (q)" "0.5 km" "s(Betw_Med)" 0.111679448726823 2 0.125741483208658 0.281673241043842
"Total" "Collapsing rate (q)" "0.5 km" "s(OutDeg_Med)" 7.00322077352299e-05 2 3.59088634167243e-05 0.426644857982181
"Total" "Collapsing rate (q)" "0.5 km" "s(WatCov_Mean)" 1.13925935496505 2 3.01460315655278 0.062639553696374
"Total" "Collapsing rate (q)" "0.5 km" "s(WatCov_CV)" 1.64497945901414 2 14.5834469318301 6.85534805034971e-05
"Total" "Proportional decay rate (b)" "1 km" "(Intercept)" 0.382016577103688 0.056900649930845 6.71374716401266 1.89688878740882e-11
"Total" "Proportional decay rate (b)" "1 km" "s(Long)" 0.759940780977167 2 3.11650569097354 0.0401631861106967
"Total" "Proportional decay rate (b)" "1 km" "s(Lat)" 0.000622041984170639 2 0.000621723108438178 0.300754402607277
"Total" "Proportional decay rate (b)" "1 km" "s(Betw_Med)" 1.37861007472776 2 26.3588404158092 4.42586868154571e-07
"Total" "Proportional decay rate (b)" "1 km" "s(OutDeg_Med)" 1.44176022823242 2 54.7669878392176 0
"Total" "Proportional decay rate (b)" "1 km" "s(WatCov_Mean)" 0.938167002630212 2 15.2124605265473 2.64814321666584e-05
"Total" "Proportional decay rate (b)" "1 km" "s(WatCov_CV)" 0.946064297038664 2 17.3179448396907 3.01870455221565e-06
"Total" "Collapsing rate (q)" "1 km" "(Intercept)" -0.659595551871117 0.00201651548027476 -327.096696416754 0
"Total" "Collapsing rate (q)" "1 km" "s(Long)" 6.61571503288689e-06 2 2.55263646092056e-06 0.641561197520278
"Total" "Collapsing rate (q)" "1 km" "s(Lat)" 8.79761319877385e-06 2 3.53318559939412e-06 0.593735079376873
"Total" "Collapsing rate (q)" "1 km" "s(Betw_Med)" 1.85870657404885 2 37.7135445960897 0
"Total" "Collapsing rate (q)" "1 km" "s(OutDeg_Med)" 1.84068297160057 2 41.0801377085899 0
"Total" "Collapsing rate (q)" "1 km" "s(WatCov_Mean)" 1.39641484540253 2 21.0867472578416 1.86516187372643e-06
"Total" "Collapsing rate (q)" "1 km" "s(WatCov_CV)" 0.925463992077504 2 12.3957215526515 9.78925331872604e-05
"Total" "Proportional decay rate (b)" "2 km" "(Intercept)" 0.375557457657864 0.0685406431637904 5.47933956149785 4.26916359297127e-08
"Total" "Proportional decay rate (b)" "2 km" "s(Long)" 0.249893362824544 2 0.304467495358161 0.283548694692902
"Total" "Proportional decay rate (b)" "2 km" "s(Lat)" 2.52056975638876e-05 2 2.63352362962105e-06 0.840549855317989
"Total" "Proportional decay rate (b)" "2 km" "s(Betw_Med)" 0.944303058362818 2 16.4887095451824 2.53741458878798e-05
"Total" "Proportional decay rate (b)" "2 km" "s(OutDeg_Med)" 0.970154819286534 2 31.7676608437038 0
"Total" "Proportional decay rate (b)" "2 km" "s(WatCov_Mean)" 1.06137180228512 2 8.70903403519726 0.00159364386354421
"Total" "Proportional decay rate (b)" "2 km" "s(WatCov_CV)" 0.978736937118897 2 18.6864907516869 3.94152329707964e-06
"Total" "Collapsing rate (q)" "2 km" "(Intercept)" -0.653208787993622 0.00217354970524888 -300.526271111351 0
"Total" "Collapsing rate (q)" "2 km" "s(Long)" 3.62468922788251e-06 2 3.27279719188467e-07 0.904451370277323
"Total" "Collapsing rate (q)" "2 km" "s(Lat)" 1.53438873495393e-05 2 3.05450640449594e-06 0.757566366655435
"Total" "Collapsing rate (q)" "2 km" "s(Betw_Med)" 1.79853844415947 2 19.5451749737713 1.91746784589109e-05
"Total" "Collapsing rate (q)" "2 km" "s(OutDeg_Med)" 1.81349644293766 2 25.4425104639409 6.44705011598745e-08
"Total" "Collapsing rate (q)" "2 km" "s(WatCov_Mean)" 1.45472338944535 2 15.4211416545079 4.65004063723296e-05
"Total" "Collapsing rate (q)" "2 km" "s(WatCov_CV)" 0.883526956827831 2 7.57790600122363 0.00171947640126546
"Total" "Proportional decay rate (b)" "5 km" "(Intercept)" 0.673859403686834 0.138568617590274 4.86300156128663 1.15618934747677e-06
"Total" "Proportional decay rate (b)" "5 km" "s(Long)" 0.531280660702594 2 1.02329893980171 0.164021913352928
"Total" "Proportional decay rate (b)" "5 km" "s(Lat)" 0.873581541056256 2 6.70146462649729 0.00471504979065895
"Total" "Proportional decay rate (b)" "5 km" "s(Betw_Med)" 0.894819319110991 2 7.93918000711337 0.00265719465883896
"Total" "Proportional decay rate (b)" "5 km" "s(OutDeg_Med)" 4.26582744702851e-06 2 5.69323899730768e-08 0.967087691363813
"Total" "Proportional decay rate (b)" "5 km" "s(WatCov_Mean)" 0.522210805319412 2 0.905090780877916 0.153106439393971
"Total" "Proportional decay rate (b)" "5 km" "s(WatCov_CV)" 1.0892250446045 2 5.06051790498061 0.0115195390546554
"Total" "Collapsing rate (q)" "5 km" "(Intercept)" -0.643271012966575 0.0023774380594766 -270.573195546551 0
