"EcoR_ID" "EcoR_Name" "NAME_ENGL" "disp_plot" "Coef_b" "Coef_q"
"1" 436 "Coastal_Levant" "Turkey" "0.001 km" -0.691072065393871 0.341038204023782
"2" 436 "Coastal_Levant" "Turkey" "0.1 km" -0.862072508889082 0.348767895413175
"3" 436 "Coastal_Levant" "Turkey" "0.5 km" -0.814606493690448 0.349824122350642
"4" 436 "Coastal_Levant" "Turkey" "1 km" -0.832174543745917 0.350450107028521
"5" 436 "Coastal_Levant" "Turkey" "2 km" -0.895381194849957 0.352186444697425
"6" 436 "Coastal_Levant" "Turkey" "5 km" -1.02378262658737 0.355246089930074
"7" 436 "Coastal_Levant" "Turkey" "10 km" -0.983029130872477 0.353846265190324
"8" 436 "Coastal_Levant" "Syria" "0.001 km" -0.691072065393871 0.341038204023782
"9" 436 "Coastal_Levant" "Syria" "0.1 km" -0.862072508889082 0.348767895413175
"10" 436 "Coastal_Levant" "Syria" "0.5 km" -0.814606493690448 0.349824122350642
"11" 436 "Coastal_Levant" "Syria" "1 km" -0.832174543745917 0.350450107028521
"12" 436 "Coastal_Levant" "Syria" "2 km" -0.895381194849957 0.352186444697425
"13" 436 "Coastal_Levant" "Syria" "5 km" -1.02378262658737 0.355246089930074
"14" 436 "Coastal_Levant" "Syria" "10 km" -0.983029130872477 0.353846265190324
"15" 436 "Coastal_Levant" "Lebanon" "0.001 km" -0.691072065393871 0.341038204023782
"16" 436 "Coastal_Levant" "Lebanon" "0.1 km" -0.862072508889082 0.348767895413175
"17" 436 "Coastal_Levant" "Lebanon" "0.5 km" -0.814606493690448 0.349824122350642
"18" 436 "Coastal_Levant" "Lebanon" "1 km" -0.832174543745917 0.350450107028521
"19" 436 "Coastal_Levant" "Lebanon" "2 km" -0.895381194849957 0.352186444697425
"20" 436 "Coastal_Levant" "Lebanon" "5 km" -1.02378262658737 0.355246089930074
"21" 436 "Coastal_Levant" "Lebanon" "10 km" -0.983029130872477 0.353846265190324
"22" 437 "Orontes" "Turkey" "0.001 km" -0.393708264140392 0.316510315243744
"23" 437 "Orontes" "Turkey" "0.1 km" -0.459431874605675 0.330935634944107
"24" 437 "Orontes" "Turkey" "0.5 km" -0.449415445558266 0.334661181918347
"25" 437 "Orontes" "Turkey" "1 km" -0.643402057027505 0.344051961540526
"26" 437 "Orontes" "Turkey" "2 km" -0.538042753071218 0.340789576795678
"27" 437 "Orontes" "Turkey" "5 km" -0.585485419954511 0.343775521701512
"28" 437 "Orontes" "Turkey" "10 km" -0.631372786550243 0.345602694874516
"29" 437 "Orontes" "Syria" "0.001 km" -0.393708264140392 0.316510315243744
"30" 437 "Orontes" "Syria" "0.1 km" -0.459431874605675 0.330935634944107
"31" 437 "Orontes" "Syria" "0.5 km" -0.449415445558266 0.334661181918347
"32" 437 "Orontes" "Syria" "1 km" -0.643402057027505 0.344051961540526
"33" 437 "Orontes" "Syria" "2 km" -0.538042753071218 0.340789576795678
"34" 437 "Orontes" "Syria" "5 km" -0.585485419954511 0.343775521701512
"35" 437 "Orontes" "Syria" "10 km" -0.631372786550243 0.345602694874516
"36" 440 "Arabian_Interior" "Syria" "0.001 km" -0.60117680651067 0.326671195227585
"37" 440 "Arabian_Interior" "Syria" "0.1 km" -0.737117048082519 0.33624014347587
"38" 440 "Arabian_Interior" "Syria" "0.5 km" -0.7692241329712 0.341371635334648
"39" 440 "Arabian_Interior" "Syria" "1 km" -0.483948314367344 0.331173653822182
"40" 440 "Arabian_Interior" "Syria" "2 km" -0.47712514432568 0.333432598268368
"41" 440 "Arabian_Interior" "Syria" "5 km" -0.740753896420533 0.34602505717518
"42" 440 "Arabian_Interior" "Syria" "10 km" -0.708423886073283 0.34580967932593
"43" 428 "Kuban" "Russian Federation" "0.001 km" -0.463000598625292 0.328217782845093
"44" 428 "Kuban" "Russian Federation" "0.1 km" -0.684252056723886 0.343252755840398
"45" 428 "Kuban" "Russian Federation" "0.5 km" -0.55062781300431 0.338834479703749
"46" 428 "Kuban" "Russian Federation" "1 km" -0.597705839860983 0.342335343004744
"47" 428 "Kuban" "Russian Federation" "2 km" -0.590170394849734 0.342738061872832
"48" 428 "Kuban" "Russian Federation" "5 km" -0.607901677499072 0.343259883334219
"49" 428 "Kuban" "Russian Federation" "10 km" -0.676107230485911 0.345626621121327
"50" 433 "Western_Transcaucasia" "Russian Federation" "0.001 km" -0.560841158184643 0.332330657258838
"51" 433 "Western_Transcaucasia" "Russian Federation" "0.1 km" -0.697658328551982 0.341861778158887
"52" 433 "Western_Transcaucasia" "Russian Federation" "0.5 km" -0.649304724879488 0.341831864361829
"53" 433 "Western_Transcaucasia" "Russian Federation" "1 km" -0.649566910828484 0.343081298560875
"54" 433 "Western_Transcaucasia" "Russian Federation" "2 km" -0.689950061311692 0.345323115949195
"55" 433 "Western_Transcaucasia" "Russian Federation" "5 km" -0.688967786253024 0.346465170509773
"56" 433 "Western_Transcaucasia" "Russian Federation" "10 km" -0.658893959398112 0.345730927258229
"57" 433 "Western_Transcaucasia" "Turkey" "0.001 km" -0.560841158184643 0.332330657258838
"58" 433 "Western_Transcaucasia" "Turkey" "0.1 km" -0.697658328551982 0.341861778158887
"59" 433 "Western_Transcaucasia" "Turkey" "0.5 km" -0.649304724879488 0.341831864361829
"60" 433 "Western_Transcaucasia" "Turkey" "1 km" -0.649566910828484 0.343081298560875
"61" 433 "Western_Transcaucasia" "Turkey" "2 km" -0.689950061311692 0.345323115949195
"62" 433 "Western_Transcaucasia" "Turkey" "5 km" -0.688967786253024 0.346465170509773
"63" 433 "Western_Transcaucasia" "Turkey" "10 km" -0.658893959398112 0.345730927258229
"64" 441 "Lower_Tigris_&_Euphrates" "Turkey" "0.001 km" -0.79800419401083 0.337810872966891
"65" 441 "Lower_Tigris_&_Euphrates" "Turkey" "0.1 km" -0.880734524770288 0.342344155992968
"66" 441 "Lower_Tigris_&_Euphrates" "Turkey" "0.5 km" -0.946488854296431 0.347420009456113
"67" 441 "Lower_Tigris_&_Euphrates" "Turkey" "1 km" -0.924270459035608 0.348026406722069
"68" 441 "Lower_Tigris_&_Euphrates" "Turkey" "2 km" -0.912854899481311 0.348508712905683
"69" 441 "Lower_Tigris_&_Euphrates" "Turkey" "5 km" -0.986250350067106 0.351484366286879
"70" 441 "Lower_Tigris_&_Euphrates" "Turkey" "10 km" -0.920983661323521 0.350488253826373
"71" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.001 km" -0.79800419401083 0.337810872966891
"72" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.1 km" -0.880734524770288 0.342344155992968
"73" 441 "Lower_Tigris_&_Euphrates" "Syria" "0.5 km" -0.946488854296431 0.347420009456113
"74" 441 "Lower_Tigris_&_Euphrates" "Syria" "1 km" -0.924270459035608 0.348026406722069
"75" 441 "Lower_Tigris_&_Euphrates" "Syria" "2 km" -0.912854899481311 0.348508712905683
"76" 441 "Lower_Tigris_&_Euphrates" "Syria" "5 km" -0.986250350067106 0.351484366286879
"77" 441 "Lower_Tigris_&_Euphrates" "Syria" "10 km" -0.920983661323521 0.350488253826373
"78" 426 "Crimea_Peninsula" "Ukraine" "0.001 km" -0.603220581791804 0.332039535739363
"79" 426 "Crimea_Peninsula" "Ukraine" "0.1 km" -0.670422203626285 0.341796475567069
"80" 426 "Crimea_Peninsula" "Ukraine" "0.5 km" -0.627240550007443 0.341210177763864
"81" 426 "Crimea_Peninsula" "Ukraine" "1 km" -0.604678584912526 0.342307617207978
"82" 426 "Crimea_Peninsula" "Ukraine" "2 km" -0.552293880057474 0.34131472184179
"83" 426 "Crimea_Peninsula" "Ukraine" "5 km" -0.643176137178203 0.344943939768392
"84" 426 "Crimea_Peninsula" "Ukraine" "10 km" -0.594648249865617 0.343795067224111
"85" 421 "Ionian_Drainages" "Greece" "0.001 km" -0.444322556725737 0.326358856599112
"86" 421 "Ionian_Drainages" "Greece" "0.1 km" -0.568949093530895 0.339200679903
"87" 421 "Ionian_Drainages" "Greece" "0.5 km" -0.587784657735897 0.341967875362017
"88" 421 "Ionian_Drainages" "Greece" "1 km" -0.505512568387683 0.340770199724568
