"Freshwater.type" "Diversity.decay.parameter" "Dispersal" "Descriptors" "Value"
"Total Freshwaters" "Proportional decay rate (b)" "0.001 km" "R-sq.(adj)" 0.407989244196461
"Total Freshwaters" "Proportional decay rate (b)" "0.001 km" "Dev. exp." 0.471460376476152
"Total Freshwaters" "Collapsing rate (q)" "0.001 km" "R-sq.(adj)" 0.517184989462815
"Total Freshwaters" "Collapsing rate (q)" "0.001 km" "Dev. exp." 0.566818197450622
"Total Freshwaters" "Proportional decay rate (b)" "0.1 km" "R-sq.(adj)" 0.366193179126121
"Total Freshwaters" "Proportional decay rate (b)" "0.1 km" "Dev. exp." 0.559648227636698
"Total Freshwaters" "Collapsing rate (q)" "0.1 km" "R-sq.(adj)" 0.551448205443336
"Total Freshwaters" "Collapsing rate (q)" "0.1 km" "Dev. exp." 0.607952538778399
"Total Freshwaters" "Proportional decay rate (b)" "0.5 km" "R-sq.(adj)" 0.22215517265447
"Total Freshwaters" "Proportional decay rate (b)" "0.5 km" "Dev. exp." 0.336892499261773
"Total Freshwaters" "Collapsing rate (q)" "0.5 km" "R-sq.(adj)" 0.434534777823427
"Total Freshwaters" "Collapsing rate (q)" "0.5 km" "Dev. exp." 0.507491249479071
"Total Freshwaters" "Proportional decay rate (b)" "1 km" "R-sq.(adj)" 0.352132792996462
"Total Freshwaters" "Proportional decay rate (b)" "1 km" "Dev. exp." 0.419200853398566
"Total Freshwaters" "Collapsing rate (q)" "1 km" "R-sq.(adj)" 0.509692066284422
"Total Freshwaters" "Collapsing rate (q)" "1 km" "Dev. exp." 0.565134090650961
"Total Freshwaters" "Proportional decay rate (b)" "2 km" "R-sq.(adj)" 0.381609730542174
"Total Freshwaters" "Proportional decay rate (b)" "2 km" "Dev. exp." 0.433989635710458
"Total Freshwaters" "Collapsing rate (q)" "2 km" "R-sq.(adj)" 0.401481984946444
"Total Freshwaters" "Collapsing rate (q)" "2 km" "Dev. exp." 0.465870452324355
"Total Freshwaters" "Proportional decay rate (b)" "5 km" "R-sq.(adj)" 0.315262116612461
"Total Freshwaters" "Proportional decay rate (b)" "5 km" "Dev. exp." 0.381376952315976
"Total Freshwaters" "Collapsing rate (q)" "5 km" "R-sq.(adj)" 0.35665104056497
"Total Freshwaters" "Collapsing rate (q)" "5 km" "Dev. exp." 0.4233571416131
"Total Freshwaters" "Proportional decay rate (b)" "10 km" "R-sq.(adj)" -0.534684266261366
"Total Freshwaters" "Proportional decay rate (b)" "10 km" "Dev. exp." 1.18018613855763
"Total Freshwaters" "Collapsing rate (q)" "10 km" "R-sq.(adj)" 0.403489992675557
"Total Freshwaters" "Collapsing rate (q)" "10 km" "Dev. exp." 0.46735172027936
"Permanent Freshwaters" "Proportional decay rate (b)" "0.001 km" "R-sq.(adj)" 0.501973436856779
"Permanent Freshwaters" "Proportional decay rate (b)" "0.001 km" "Dev. exp." 0.571613831783568
"Permanent Freshwaters" "Collapsing rate (q)" "0.001 km" "R-sq.(adj)" 0.445793501472451
"Permanent Freshwaters" "Collapsing rate (q)" "0.001 km" "Dev. exp." 0.494271582320401
"Permanent Freshwaters" "Proportional decay rate (b)" "0.1 km" "R-sq.(adj)" 0.299454351945657
"Permanent Freshwaters" "Proportional decay rate (b)" "0.1 km" "Dev. exp." 0.341345667598017
"Permanent Freshwaters" "Collapsing rate (q)" "0.1 km" "R-sq.(adj)" 0.477520424309797
"Permanent Freshwaters" "Collapsing rate (q)" "0.1 km" "Dev. exp." 0.524333927159126
"Permanent Freshwaters" "Proportional decay rate (b)" "0.5 km" "R-sq.(adj)" 0.405410250324846
"Permanent Freshwaters" "Proportional decay rate (b)" "0.5 km" "Dev. exp." 0.480193845276816
"Permanent Freshwaters" "Collapsing rate (q)" "0.5 km" "R-sq.(adj)" 0.68698399732063
"Permanent Freshwaters" "Collapsing rate (q)" "0.5 km" "Dev. exp." 0.737229152769916
"Permanent Freshwaters" "Proportional decay rate (b)" "1 km" "R-sq.(adj)" 0.61587647864163
"Permanent Freshwaters" "Proportional decay rate (b)" "1 km" "Dev. exp." 0.725909649801998
"Permanent Freshwaters" "Collapsing rate (q)" "1 km" "R-sq.(adj)" 0.709648406035731
"Permanent Freshwaters" "Collapsing rate (q)" "1 km" "Dev. exp." 0.759690871040341
"Permanent Freshwaters" "Proportional decay rate (b)" "2 km" "R-sq.(adj)" 0.379518522109966
"Permanent Freshwaters" "Proportional decay rate (b)" "2 km" "Dev. exp." 0.48409635516175
"Permanent Freshwaters" "Collapsing rate (q)" "2 km" "R-sq.(adj)" 0.652012515534701
"Permanent Freshwaters" "Collapsing rate (q)" "2 km" "Dev. exp." 0.709725141843529
"Permanent Freshwaters" "Proportional decay rate (b)" "5 km" "R-sq.(adj)" 0.442455504449377
"Permanent Freshwaters" "Proportional decay rate (b)" "5 km" "Dev. exp." 0.528474581248656
"Permanent Freshwaters" "Collapsing rate (q)" "5 km" "R-sq.(adj)" 0.502887719240495
"Permanent Freshwaters" "Collapsing rate (q)" "5 km" "Dev. exp." 0.562451099159382
"Permanent Freshwaters" "Proportional decay rate (b)" "10 km" "R-sq.(adj)" 0.520925520580387
"Permanent Freshwaters" "Proportional decay rate (b)" "10 km" "Dev. exp." 0.614461020118509
"Permanent Freshwaters" "Collapsing rate (q)" "10 km" "R-sq.(adj)" 0.561268442549723
