"EcoR_ID" "EcoR_Name" "NAME_ENGL" "disp_plot" "Coef_b" "Coef_q"
"1" 436 "Coastal_Levant" "Turkey" "0.001 km" -0.993653572001894 0.351424398744105
"2" 436 "Coastal_Levant" "Turkey" "0.1 km" -0.761318497337891 0.347288734863164
"3" 436 "Coastal_Levant" "Turkey" "0.5 km" -0.824627892416958 0.3507280703626
"4" 436 "Coastal_Levant" "Turkey" "1 km" -0.744938813309783 0.348788925464557
"5" 436 "Coastal_Levant" "Turkey" "2 km" -0.815340989430306 0.351346495945612
"6" 436 "Coastal_Levant" "Turkey" "5 km" -0.840795553474655 0.351711478151165
"7" 436 "Coastal_Levant" "Turkey" "10 km" -0.945512542189203 0.354460983630145
"8" 436 "Coastal_Levant" "Syria" "0.001 km" -0.993653572001894 0.351424398744105
"9" 436 "Coastal_Levant" "Syria" "0.1 km" -0.761318497337891 0.347288734863164
"10" 436 "Coastal_Levant" "Syria" "0.5 km" -0.824627892416958 0.3507280703626
"11" 436 "Coastal_Levant" "Syria" "1 km" -0.744938813309783 0.348788925464557
"12" 436 "Coastal_Levant" "Syria" "2 km" -0.815340989430306 0.351346495945612
"13" 436 "Coastal_Levant" "Syria" "5 km" -0.840795553474655 0.351711478151165
"14" 436 "Coastal_Levant" "Syria" "10 km" -0.945512542189203 0.354460983630145
"15" 436 "Coastal_Levant" "Lebanon" "0.001 km" -0.993653572001894 0.351424398744105
"16" 436 "Coastal_Levant" "Lebanon" "0.1 km" -0.761318497337891 0.347288734863164
"17" 436 "Coastal_Levant" "Lebanon" "0.5 km" -0.824627892416958 0.3507280703626
"18" 436 "Coastal_Levant" "Lebanon" "1 km" -0.744938813309783 0.348788925464557
"19" 436 "Coastal_Levant" "Lebanon" "2 km" -0.815340989430306 0.351346495945612
"20" 436 "Coastal_Levant" "Lebanon" "5 km" -0.840795553474655 0.351711478151165
"21" 436 "Coastal_Levant" "Lebanon" "10 km" -0.945512542189203 0.354460983630145
"22" 437 "Orontes" "Turkey" "0.001 km" -0.541966436623109 0.326607509935156
"23" 437 "Orontes" "Turkey" "0.1 km" -0.600875975144636 0.336206036439186
"24" 437 "Orontes" "Turkey" "0.5 km" -0.605709863442446 0.340253549954733
"25" 437 "Orontes" "Turkey" "1 km" -0.733996966121937 0.345547882720893
"26" 437 "Orontes" "Turkey" "2 km" -0.630514418290347 0.344005644800627
"27" 437 "Orontes" "Turkey" "5 km" -0.741331016171315 0.347684327767662
"28" 437 "Orontes" "Turkey" "10 km" -0.733305994513237 0.347866327824892
"29" 437 "Orontes" "Syria" "0.001 km" -0.541966436623109 0.326607509935156
"30" 437 "Orontes" "Syria" "0.1 km" -0.600875975144636 0.336206036439186
"31" 437 "Orontes" "Syria" "0.5 km" -0.605709863442446 0.340253549954733
"32" 437 "Orontes" "Syria" "1 km" -0.733996966121937 0.345547882720893
"33" 437 "Orontes" "Syria" "2 km" -0.630514418290347 0.344005644800627
"34" 437 "Orontes" "Syria" "5 km" -0.741331016171315 0.347684327767662
